key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
ipak,,nevertheless,тем не менее,Used to indicate something that is in opposition to what has been stated earlier but does not completely contradict it.,"используется для указания на что-то, что противоречит ранее сказанному, но полностью не опровергает его.","Izraz koji se koristi za izražavanje nečega što je u suprotnosti sa prethodno rečenim, ali ga ne negira u potpunosti.","Rekao je da neće doći, ipak se pojavio.","međutim, ali, no",,,,,,,,,,,,,,,,,,1734467475,551000000,1734467475,551000000
isklučite,,turn off,выключить,To disconnect or turn off an electrical device or system.,выключить или отключить электрическое устройство или систему.,isključiti električni uređaj ili sistem.,"Molim vas, isključite svetlo pre nego što izađete.","ugasiti, odvojiti, prekinuti",,,,,,,,,,,,,,,,,,,,,
isplatiti,,to pay out,выплатить,To give someone money owed or as a reward.,"дать кому-то деньги, которые должны или в качестве вознаграждения.",dati nekome novac koji se duguje ili kao nagrada.,Moram isplatiti radnike danas.,"platiti, nadoknaditi, isplaćivati",,,,,,,,,,,,,,,,,,1734466502,295000000,1734466502,295000000
ispod,ispod,below,ниже,"Situated or placed at a lower level, not directly on top.","Расположен или находится на более низком уровне, не прямо на вершине.","Pozicioniran ili postavljen na nižem nivou, ne direktno iznad.",Mačka se sakrila ispod stola.,"niž, dole, odozdo",other,,,,,,,,,,,,,,,,,1736703910,852000000,1736703910,852000000
ispravan,,correct,правильный,"In accordance with fact, truth, or right procedure.",соответствующий факту или истине; выполняющий правильно.,koji je u skladu sa činjenicama ili pravilima.,Ovaj odgovor je ispravan.,"tačan, pravi, validan",,,,,,,,,,,,,,,,,,1734449790,86000000,1734449790,86000000
ispruziti,,to stretch,растянуть,To extend or stretch out a body part or something.,вытянуть или растянуть какую-либо часть тела или что-либо.,izvuci ili rastegnuti deo tela ili nešto drugo.,Moram ispružiti ruku da bih dohvatio knjigu.,"pružiti, rastegnuti, izdužiti",,,,,,,,,,,,,,,,,,,,,
izaći,izaći,to exit/leave,выйти,To move out or away from a place.,Покинуть или выйти из места.,Napustiti mesto ili izaći van.,"Kada završim s poslom, planiram izaći sa prijateljima.","napustiti, otići, izaći napolje",verb,,,,,,,,,,,,,,,,,1739224041,364000000,1739224041,364000000
izbacati,,to throw out,выбросить,To remove something or someone from a certain place or group.,Удалить что-то или кого-то из определенного места или группы.,Ukloniti nešto ili nekoga iz određenog mesta ili grupe.,On je odlučio da izbaciti stari nameštaj.,"eliminisati, izostaviti, proterati",,,,,,,,,,,,,,,,,,1735029605,735000000,1735029605,735000000
izbaviti,izbaviti,to rescue,спасти,To free someone or something from a state of danger or distress.,Освободить кого-либо или что-либо от опасности или страданий.,Da oslobodi nekoga ili nešto od opasnosti ili nedaće.,Vatra je izbavila ljude iz zgrade.,"spasiti, osloboditi, izvući",verb,,,,,,,,,,,,,,,,,1739825565,334000000,1739825565,334000000
izgovoriti,izgovoriti,to pronounce,произнести,To articulate or pronounce words or sentences in speech.,Произнести или выговорить слова или предложения в речи.,Artikulirati ili izgovoriti reči ili rečenice u govoru.,Možemo li izgovoriti rečenicu?,"reći, progovoriti, kazati",verb,,,,,,,,,,,,,,,,,1736796238,995000000,1736796238,995000000
izgubiti novac,,lose money,потерять деньги,"To be deprived of money, often as a result of carelessness, theft, or unfortunate circumstances.","лишиться денег, часто из-за неосторожности, кражи или несчастных обстоятельств.","Biti lišen novca obično zbog nepažnje, krađe ili nesretnih okolnosti.",On je izgubio novac na lošoj investiciji.,"ostati bez novca, poništiti sredstva, propustiti priliku",,,,,,,,,,,,,,,,,,1734434799,960000000,1734434799,960000000
izgubiti prijatelja,,to lose a friend,потерять друга,To no longer have someone as a friend.,больше не считать кого-то другом,prestati imati nekoga kao prijatelja,Zbog svađe su odlučili izgubiti prijatelja.,"ostati bez prijatelja, prekinuti prijateljstvo, razdvojiti se od prijatelja",,,,,,,,,,,,,,,,,,1734434771,638000000,1734434771,638000000
izgubiti vreme,,to waste time,терять время,"To use time in a non-productive or ineffective manner, often leading to no beneficial result.","использовать время непродуктивно или неэффективно, не приводя к положительному результату.","koristiti vreme na neproduktivan ili neefikasan način, često bez korisnog rezultata.",Nemoj da izgubiš vreme na nevažne stvari.,"traćiti vreme, protraćiti vreme, gubiti vreme",,,,,,,,,,,,,,,,,,1734434746,646000000,1734434746,646000000
izgubiti zabavu,,lose fun,потерять веселье,To cease having enjoyment or amusement.,перестать испытывать удовольствие или веселье,prestati uživati ili se zabavljati,Ne želim da izgubim zabavu na ovoj žurci.,"propustiti radost, ostati bez zabave",,,,,,,,,,,,,,,,,,1734434823,461000000,1734434823,461000000
iznenaditi,,to surprise,удивлять,To cause someone to feel amazement or wonder due to something unexpected.,внезапно дать кому-то повод для удивления или изумления,prouzrokovati kod nekoga osećaj iznenađenja ili čuda zbog nečeg neočekivanog,Njegova reakcija će te iznenaditi.,"zaprepastiti, šokirati, zapanjiti",,,,,,,,,,,,,,,,,,1734463812,628000000,1734463812,628000000
izvirale,,to originate,происходить,To have a source or origin in something.,иметь источник или происхождение.,imati izvor ili poreklo u nečemu.,Reke su izvirale iz planina.,"počinjati, poticati, nastajati",,,,,,,,,,,,,,,,,,1733046337,334000000,1733046337,334000000
izvor,izvor,source,источник,The place or entity from which something originates or can be obtained.,"Место или объект, откуда что-то исходит или может быть получено.",Mesto ili entitet odakle nešto potiče ili može biti dobijeno.,Voda iz prirodnog izvora je obično čista.,"poreklo, osnova, počelo",noun,m,s,izvor,izvora,izvoru,izvor,izvorom,izvoru,izvore,izvori,izvora,izvorima,izvore,izvorima,izvorima,izvori,1744276882,851000000,1744276882,851000000
ići,ići,to go,идти,"To move from one place to another, often by foot.","Двигаться из одного места в другое, часто пешком.","Kretati se iz jednog mesta u drugo, često peške.",Moram ići na sastanak u deset.,"kretati se, putovati, započeti put",verb,,,,,,,,,,,,,,,,,1735343610,920000000,1735343610,920000000
ja,,I,я,"A pronoun used to refer to oneself, the speaker.","местоимение для обозначения лица именительного падежа, произносимое самим о себе",Pronomin koji se koristi da se odnosi na samog govornika.,Ja volim da putujem.,"ja se, ja sam, meni",,,,,,,,,,,,,,,,,,,,,
jarbol,jarbol,mast,мачта,A tall vertical pole on a ship or a structure to support sails or flags.,Высокий вертикальный шест на корабле или конструкции для поддержки парусов или флагов.,Visok vertikalan stub na brodu ili konstrukciji za podršku jedara ili zastava.,Jarbol broda je bio vidljiv iz daleka.,"stub, stup, stojalo",noun,m,s,jarbol,jarbola,jarbolu,jarbol,jarbolom,jarbolu,jarbole,jarboli,jarbola,jarbolima,jarbole,jarbolima,jarbolima,jarboli,1740412322,74000000,1740412322,74000000
javna,javna,public,публичная,Something that is open or accessible to everyone.,"Что-то, что открыто или доступно для всех.",Nešto što je otvoreno ili pristupačno svima.,Njihova kuća je sada javna biblioteka.,"otvorena, dostupna, obznanjena",adjective,f,s,javna,javne,javnoj,javnu,javnom,javnoj,javna,javne,javnih,javnim,javne,javnim,javnim,javne,1736852559,113000000,1736852559,113000000
je zatekao,,found,обнаружил,"To discover or come across someone or something unexpectedly, or in a particular situation or state.","обнаружить кого-то или что-то неожиданно, или в определенном состоянии или положении.","otkriti ili naići na nekoga ili nešto neočekivano, ili u određenom stanju ili položaju.",On je zatekao kuću zaključanu.,"pronaći, naći, uhvatiti",,,,,,,,,,,,,,,,,,1734467435,210000000,1734467435,210000000
jebem ti mamo u pichku,jebem ti mater u pičku,fuck your mother in the pussy,трахну твою мать в пизду,"A vulgar and offensive expression used to strongly insult someone, often indicating extreme anger or disdain.","Грубое и оскорбительное выражение, используемое для сильного оскорбления кого-либо, часто указывающее на крайний гнев или презрение.","Vulgaran i uvredljiv izraz koji se koristi za snažno vređanje nekoga, često pokazuje ekstremni bes ili prezir.","Kada je razbesneo protivnika, ovaj mu je uzvratio: 'Jebem ti mater u pičku!'","psovka, uvrede, pogrdan izraz",other,,,,,,,,,,,,,,,,,1744446841,804000000,1744446841,804000000
jederenjak,jederenjak,,,,,,,,other,,,,,,,,,,,,,,,,,1740412655,504000000,1740412655,504000000
jedrenjak,jedrenjak,sailing ship,парусник,A ship equipped with sails that is propelled by the wind.,"Корабль, оснащённый парусами, который движется под воздействием ветра.",Brod opremljen jedrima koji se pokreće pomoću vetra.,Beli jedrenjak je plovio kroz talase u zalazak sunca.,"brod na jedra, pstripdecked situnde, jedrilica",noun,m,s,jedrenjak,jedrenjaka,jedrenjaku,jedrenjak,jedrenjakom,jedrenjaku,jedrenjače,jedrenjaci,jedrenjaka,jedrenjacima,jedrenjake,jedrenjacima,jedrenjacima,jedrenjaci,1742062954,942000000,1742062954,942000000
kao zapeta puška,kao zapeta puška,like a cocked gun,как взведённый пистолет,"A phrase denoting someone or something that is extremely alert, tense, and ready to act or react suddenly.","Фраза, обозначающая кого-то или что-то, что находится в состоянии крайней готовности, натянутности и готово резко реагировать.","Izraz koji opisuje nekoga ili nešto što je veoma budno, napeto i spremno na iznenadnu akciju ili reakciju.","Kad ga vidiš, kao zapeta puška je, samo čeka da se nešto desi.","napet kao struna, k'o na iglama",other,,,,,,,,,,,,,,,,,1737992920,786000000,1737992920,786000000
kazniti,,to punish,наказать,To inflict a penalty or sanction on someone as retribution for an offense.,наказывать кого-то в качестве возмездия за правонарушение.,izvršiti kaznu nad nekim kao odmazdu za prestup.,Moraćemo da te kaznimo zbog lošeg ponašanja.,"sankcionisati, kažnjavati, penalizovati",,,,,,,,,,,,,,,,,,,,,
klauza,klauza,clause,положение,"A distinct section or provision in a legal document or contract, specifying a particular condition or duty.","Особый раздел или положение в юридическом документе или контракте, определяющее конкретное условие или обязанность.","Poseban deo ili odredba u pravnom dokumentu ili ugovoru, koja određuje određeni uslov ili obavezu.",Klauza u ugovoru o radu je jasna i precizna.,"odredba, položaj",noun,f,s,klauza,klauze,klauzi,klauzu,klauzom,klauzi,klauzo,klauze,klauza,klauzama,klauze,klauzama,klauzama,klauze,1742550671,895000000,1742550671,895000000
kobajagi,kobajagi,supposedly,якобы,Used to indicate something not genuine or merely an imitation.,"Используется, чтобы указать на что-то не настоящее или всего лишь подделку.",Koristi se da označi nešto što nije stvarno ili je samo imitacija.,"On kobajagi zna sve o kompjuterima, ali zapravo nema pojma.","navodno, tobože, zamišljeno",other,,,,,,,,,,,,,,,,,1735898326,874000000,1735898326,874000000
konkurencija,konkurencija,competition,конкуренция,The activity or condition of competing against others.,Действие или состояние конкурирования с другими.,Aktivnost ili stanje takmičenja protiv drugih.,Konkurencija među studentima za najbolju ocenu je velika.,"nadmetanje, takmičenje, rivalstvo",noun,f,s,konkurencija,konkurencije,konkurenciji,konkurenciju,konkurencijom,konkurenciji,konkurencijo,konkurencije,konkurencija,konkurencijama,konkurencije,konkurencijama,konkurencijama,konkurencije,1735898949,865000000,1735898949,865000000
konzumentima,konzumentima,consumers,потребителям,Individuals who consume or use goods and services.,"Люди, которые потребляют или используют товары и услуги.",Osobe koje konzumiraju ili koriste robu i usluge.,Konzumentima je važno da znaju poreklo proizvoda koje kupuju.,"korisnici, potrošači",noun,m,p,konzument,konzumenta,konzumentu,konzumenta,konzumentom,konzumentu,konzumente,konzumenti,konzumenata,konzumentima,konzumente,konzumentima,konzumentima,konzumenti,1736852613,230000000,1736852613,230000000
koplje,,spear,копье,"A long-handled weapon with a sharp point, used for thrusting or throwing.","длинное древко с острым концом, использующееся как оружие для атаки или метания.",dugo oružje sa šiljkom koje se koristi za probijanje ili bacanje.,On drži koplje u ruci.,"sulica, harpuna, sabre",,,,,,,,,,,,,,,,,,1732201675,711000000,1732201675,711000000
kopno,kopno,land,суша,a solid part of the Earth's surface that is not covered by water.,"твердая часть поверхности Земли, которая не покрыта водой.",čvrsti deo Zemljine površine koji nije prekriven vodom.,Vidik sa obale otkriva prostrano kopno.,"zemlja, kontinent, teritorija",noun,n,s,kopno,kopna,kopnu,kopno,kopnom,kopnu,kopno,kopna,kopana,kopnima,kopna,kopnima,kopnima,kopna,1740411882,864000000,1740411882,864000000
koristitit,,to use,использовать,To use or employ something for a particular purpose.,Использовать что-то для определенной цели.,Upotrebiti nešto za određenu svrhu.,Kako da koristim ovaj alat?,"upotrebiti, primeniti, iskoristiti",,,,,,,,,,,,,,,,,,,,,
kovač,,blacksmith,кузнец,A person who creates and shapes objects by hammering metals.,"человек, создающий и формирующий предметы путем ковки металлов.",Osoba koja oblikuje i kuje predmete od metala.,Kovač je napravio prekrasan mač.,"metalurg, zlatar, majsor",,,,,,,,,,,,,,,,,,1732201598,174000000,1732201598,174000000
krimić,krimić,detective novel,детективный роман,"A fictional narrative that involves a mystery or an investigation, typically involving crime and detective work.","Выдуманный сюжет, включающий в себя тайну или расследование, обычно связанное с преступлением и детективной работой.","Fikcionalna priča koja uključuje misteriju ili istragu, obično u vezi sa zločinom i detektivskim radom.",Čitam zanimljiv krimić koji je pisan od strane poznatog autora.,"detektivska priča, triler, misterija",noun,m,s,krimić,krimića,krimiću,krimić,krimićem,krimiću,krimiću,krimići,krimića,krimićima,krimiće,krimićima,krimićima,krimići,1738857616,351000000,1738857616,351000000
krzna,,fur,мех,"The thick hair covering the skin of an animal, especially mammals, often used by humans for clothing.","густые волосы, покрывающие кожу животного, особенно млекопитающих, часто используемые людьми для одежды.","gusti dlakavi prekrivač kože životinja, posebno sisara, često korišćen od strane ljudi za odeću.",Zimi nosim jaknu sa pravim krznom.,"coat, četina, pokrivač",,,,,,,,,,,,,,,,,,1732202130,534000000,1732202130,534000000
krzneni,,furry,меховой,Covered with or consisting of a thick coat of soft fur.,Покрытый или состоящий из толстого слоя мягкого меха.,Pokroveni ili sastavni deo od debelog sloja mekog krzna.,On nosi krzneni kaput.,"dlakav, krznat, vunast",,,,,,,,,,,,,,,,,,1732201801,965000000,1732201801,965000000
kucati,,to knock,стучать,"To make a noise by hitting a hard surface with a hand or object, or to create a rhythmic sound.","совершать шум, ударяя по твердой поверхности рукой или предметом, или создавать ритмичный звук.","stvarati buku udaranjem po tvrdoj površini rukom ili predmetom, ili stvarati ritmički zvuk.",Neko kuca na vrata.,"lupati, udarati, tukati",,,,,,,,,,,,,,,,,,1731018713,345000000,1731018713,345000000
kupio,,to buy,покупать,To acquire something in exchange for money; to make a purchase.,Приобретать что-либо в обмен на деньги; совершать покупку.,Stekao nešto u zamenu za novac; izvršio kupovinu.,Kupio sam novi auto.,"obaviti kupovinu, nabaviti, kupovati, pazariti",,,,,,,,,,,,,,,,,,,,,
kupiti,,to buy,купить,To acquire something in exchange for money.,приобретать что-то в обмен на деньги,sticanje nečega uz novčanu nadoknadu,Moram kupiti hleb za večeru.,"nabaviti, nabavljati, kupovati, potrošiti",,,,,,,,,,,,,,,,,,,,,
kvariti,,to spoil,портить,To cause something to no longer be in working order or to diminish its quality.,делать что-то непригодным или снижать качество чего-либо.,Uzrokovati da nešto prestane da bude u funkcionalnom stanju ili smanjiti njegov kvalitet.,Nemoj kvariti zabavu!,"oštetiti, pokvariti, unistiti",,,,,,,,,,,,,,,,,,1734449748,116000000,1734449748,116000000
lanac,,chain,цепь,"A series of connected links or rings, typically made of metal, used for various purposes such as fastening or securing objects.","последовательность взаимосвязанных колец или звеньев, обычно из металла, используемых для различных целей, таких как крепление или защита объектов.","niz međusobno povezanih karika ili prstenova, obično izrađenih od metala, koji se koriste za različite svrhe poput učvršćivanja ili osiguravanja objekata.",On je vezao psa lancem za drvo.,"veriga, katena, okov",,,,,,,,,,,,,,,,,,1732201716,340000000,1732201716,340000000
lep,lep,beautiful,красивый,Having qualities that delight the senses; aesthetically pleasing.,"Имеющий качества, которые радуют чувства; эстетически приятный.",Imajući osobine koje obraduju čula; estetski prijatan.,Dan je lep i sunčan.,"divan, predivan, lepši",adjective,m,s,lep,lepog,lepom,lepog,lepim,lepom,lepi,lepi,lepih,lepim,lepe,lepim,lepim,lepi,1736712221,256000000,1736712221,256000000
lepi,lepi,beautiful,красивый,"Pleasing to the senses or mind, particularly in appearance.","Приятный для чувств или ума, особенно по внешнему виду.","Prijatno za čula ili um, posebno u izgledu.",Ova slika je veoma lepa.,"prelep, divan, zgodan",noun,m,s,lepi,lepog,lepom,lepog,lepim,lepom,lepi,lepi,lepih,lepoj,lepe,lepim,lepim,lepi,1735343310,102000000,1735343310,102000000
lezilebović,lezilebović,idler,лодырь,A person who prefers to be lazy and avoid work or effort.,"Человек, который предпочитает быть ленивым и избегать работы или усилий.",Osoba koja voli da lenčari i izbegava rad ili trud.,On je poznat kao najveći lezilebović u firmi.,"lenčina, dokolica, neradnik",noun,m,s,lezilebović,lezilebovića,lezileboviću,lezilebovića,lezilebovićem,lezileboviću,lezileboviću,lezilebovići,lezilebovića,lezilebovićima,lezileboviće,lezilebovićima,lezilebovićima,lezilebovići,1737993023,978000000,1737993023,978000000
lizilebović,lizilebović,sycophant,подхалим,A person who acts obsequiously towards someone important in order to gain advantage.,"Лицемерно лебезящий человек, который ведет себя угодливо, чтобы получить выгоду.",Osoba koja laskavo ponaša prema važnim ljudima radi vlastite koristi.,"On je pravi lizilebović, uvek se ulaguje šefu kada treba dobiti povišicu.","podguzna muva, ulizica, udosnik",noun,m,s,lizilebović,lizilebovića,lizileboviću,lizilebovića,lizilebovićem,lizileboviću,lizileboviću,lizilebovići,lizilebovića,lizilebovićima,lizileboviće,lizilebovićima,lizilebovićima,lizilebovići,1737992999,268000000,1737992999,268000000
ljubav,,love,любовь,"An intense feeling of deep affection, a strong attachment or unbreakable bond between two or more entities.","сильное чувство глубокой привязанности, крепкое влечение или нерушимая связь между двумя или более субъектами","jako osećanje duboke privrženosti, snažna veza ili neraskidiva ljubav između dve ili više entiteta",Ljubav je najjača sila na svetu.,"afekcija, ljubljenje, nježnost",,,,,,,,,,,,,,,,,,,,,
lopova,,thief,вор,"A person who steals another person's property, especially by stealth and without using force.","человек, который крадет чужую собственность, особенно тайно и без применения силы.","osoba koja krade tuđu imovinu, obično tajno i bez upotrebe sile.",Policija je uhvatila lopova.,"kradljivac, šibicar, kleptoman",,,,,,,,,,,,,,,,,,1734463637,250000000,1734463637,250000000
lov,lov,hunting,охота,The activity or sport of hunting animals.,Деятельность или спорт охоты на животных.,Aktivnost ili sport lova na životinje.,Moj deda često ide u lov.,"potera, gonjenje, Jur",noun,m,s,lov,lova,lovu,lov,lovom,lovu,love,lovovi,lovova,lovovima,lovove,lovovima,lovovima,lovovi,1740412803,660000000,1740412803,660000000
lozinka,,password,пароль,"A secret word or string of characters that is used for authentication, to prove identity or gain access to a resource.","секретное слово или строчка символов, используемая для аутентификации, для подтверждения личности или получения доступа к ресурсу.","tajna reč ili niz znakova koji se koristi za autentikaciju, da dokaže identitet ili obezbedi pristup resursu.","Molim vas, unesite vašu lozinku.","šifra, kod",,,,,,,,,,,,,,,,,,1732269598,992000000,1732269598,992000000
majk,majk,mother,мать,"A female parent, the one who gives birth or raises a child.","Женщина, родившая или воспитывающая ребенка.",Ženska osoba koja rađa ili podiže dete.,Moja majka je najbolja kuvarica.,"mama, majka, mater",noun,f,s,majka,majke,majci,majku,majkom,majci,majko,majke,majki,majkama,majke,majkama,majkama,majke,1735342969,298000000,1735342969,298000000
majka,majka,mother,мати,A female parent; a woman who gives birth to or raises a child.,"Женщина, которая рожает или воспитывает ребенка.",Žena koja rađa ili odgaja dete.,Moja majka je veoma brižna osoba.,"mama, matica, maternica",noun,feminine,singular,majka,majke,majci,majku,majkom,majci,majko,majke,majki,majkama,majke,majkama,majkama,majke,1735308342,349000000,1735308342,349000000
makaza,,scissors,ножницы,"A tool consisting of two blades pivoted together, used for cutting.","инструмент, состоящий из двух лезвий на оси, для резки.","alat sastavljen od dva sečiva zglavljena zajedno, koristi se za sečenje.",Trebaju mi makaze da isečem papir.,"sekač, rezalica",,,,,,,,,,,,,,,,,,1732201747,554000000,1732201747,554000000
matica,matica,matrix,матрица,"A rectangular array of numbers or elements, used in mathematics and computer science.","Прямоугольный массив чисел или элементов, используемый в математике и информатике.","Pravougaoni niz brojeva ili elemenata, koji se koristi u matematici i računarstvu.",Matrica se koristi za rešavanje linearnih jednačina.,"osnova, okvir, temelj",noun,f,s,matica,matice,matici,maticu,maticom,matici,matice,matice,matica,maticama,matice,maticama,maticama,matice,1735343048,306000000,1735343048,306000000
matičar,,registrar,регистратор,"An official responsible for keeping a register or official records, especially of births, deaths, and marriages.","Официальное лицо, отвечающее за ведение записей или официальных регистров, особенно актов о рождении, смерти и браке.","Službeno lice odgovorno za vođenje službenih evidencija, posebno o rođenjima, smrtnim slučajevima i brakovima.",Matičar je potpisao venčani list.,"zapisničar, upisničar",,,,,,,,,,,,,,,,,,1733489752,973000000,1733489752,973000000
mačka,,cat,кошка,"A small domesticated carnivorous mammal with soft fur, a short snout, and retractile claws.","Небольшое домашнее хищное млекопитающее с мягкой шерстью, короткой мордочкой и втягивающимися когтями.","Mala domaća grabljivica sa mekom krznom, kratkom njuškom i uvlačivim kandžama.",Moja mačka voli da spava na krevetu.,"maca, tigrica, kućna ljubimica",,,,,,,,,,,,,,,,,,,,,
misliti,misliti,to think,думать,"To use one's mind actively to form ideas, solve problems, or make decisions.","Использовать свой ум активно для формирования идей, решения проблем или принятия решений.","Koristiti um aktivno da bi se formirale ideje, rešavali problemi ili donosile odluke.",On često misli o svojoj budućnosti.,"razmišljati, smatrati, verovati",verb,,,,,,,,,,,,,,,,,1736505671,326000000,1736505671,326000000
mlada,,bride,невеста,A woman who is about to be married or has just been married.,"Женщина, которая собирается выйти замуж или только что вышла замуж.",Žena koja treba da se uda ili se upravo udala.,Mlada je izgledala predivno na venčanju.,"nevesta, mladenka, supruga",,,,,,,,,,,,,,,,,,1733489506,65000000,1733489506,65000000
mladoženja,,groom,жених,A man on his wedding day or just before and after the event.,мужчина в день его свадьбы или незадолго до и после события.,Muškarac na dan svog venčanja ili neposredno pre i posle tog događaja.,Mladoženja je čekao svoju mladu pred oltarom.,"ženik, mladoženac",,,,,,,,,,,,,,,,,,1733489511,597000000,1733489511,597000000
mljačkati,mljačkati,to smirk,ухмыляться,"To make a soft smacking sound with the lips, often denoting disapproval or annoyance.","Издавать мягкий звук губами, часто выражая неодобрение или раздражение.","Praviti mekani zvuk usnama, često u znak neodobravanja ili iritacije.",Deca su stalno mljačkala dok su jela supu.,"žvakati, mrsiti, praskati",verb,,,,,,,,,,,,,,,,,1736893183,561000000,1736893183,561000000
moja dela,moja dela,my works,мои работы,A collection of tasks or creations by an individual.,Набор задач или творений от лица.,Zbirka zadataka ili kreacija pojedinca.,Moja dela su izložena u lokalnoj galeriji.,"moje kreacije, moje radove",noun,n,p,delo,dela,delu,delo,delom,delu,delo,dela,dela,delima,dela,delima,delima,dela,1738004003,529000000,1738004003,529000000
more,more,sea,море,"A large body of saltwater smaller than an ocean, usually partially enclosed by land.","Большое соленое водное пространство, меньшее океана, обычно частично окруженное сушей.","Velika količina slane vode koja je manja od okeana, obično delimično okružena kopnom.",Na moru se vidi mnogo brodova.,"okean, voda, plavetnilo",noun,n,s,more,mora,moru,more,morem,moru,more,mora,mora,morima,mora,morima,morima,mora,1735328225,724000000,1735328225,724000000
moreuz,moreuz,sea,море,"A large body of saltwater that is often connected to an ocean, partly enclosed by land.","Большое тело соленой воды, часто связанное с океаном, частично окруженное сушей.","Velika površina slane vode koja je često povezana sa okeanom, delimično okružena kopnom.",Letovali smo na obali mora tokom leta.,"okean, voda",noun,n,s,more,mora,moru,more,morom,moru,more,mora,mora,morima,mora,morima,morima,mora,1740412407,455000000,1740412407,455000000
moći,,to be able,мочь,"To be able to, to have the power or capacity to do something.","Иметь возможность, способность сделать что-то.",Imati mogućnost ili sposobnost da se nešto uradi.,Ja mogu da završim posao.,"znati, uspeti, ume(n)ti",,,,,,,,,,,,,,,,,,,,,
moći kupiti,moći kupiti,to be able to buy,смочь купить,To have the capability or permission to make a purchase.,Иметь возможность или разрешение совершить покупку.,Imať mogućnost ili dozvolu da kupi nešto.,Nadam se da ću moći kupiti tu knjigu sutra.,"biti u mogućnosti, imati mogućnost",verb,,,,,,,,,,,,,,,,,1736784639,594000000,1736784639,594000000
mrdnuti od kuće,,to move away from home,двигаться из дома,"To leave one's place of residence or origin, or to physically move from where one lives.",покинуть место жительства или физически покинуть дом.,Napustiti mesto boravka ili fizički otići od kuće.,On je odlučio da mrdne od kuće i pronađe sreću negde drugde.,"otići, udaljiti se, preseliti se",,,,,,,,,,,,,,,,,,1734447903,963000000,1734447903,963000000
muškarac,muškarac,man,мужчина,An adult male human being.,Взрослый мужской человек.,Odrasli muškarac koji je ljudski.,Svaki muškarac treba da bude odgovoran.,"mladić, kavalir, čovek",noun,m,s,muškarac,muškarca,muškarcu,muškarca,muškarcem,muškarcu,muškarče,muškarci,muškaraca,muškarcima,muškarce,muškarcima,muškarcima,muškarci,1735313781,671000000,1735313781,671000000
mušterija,mušterija,customer,клиент,A person who buys goods or services from a store or business.,"Человек, который покупает товары или услуги в магазине или бизнесе.",Osoba koja kupuje robu ili usluge u prodavnici ili poslovnom objektu.,Mušterija je bila zadovoljna uslugom.,"klijent, kupac",noun,f,s,mušterija,mušterije,mušteriji,mušteriju,mušterijom,mušteriji,mušterijo,mušterije,mušterija,mušterijama,mušterije,mušterijama,mušterijama,mušterije,1736852495,971000000,1736852495,971000000
na ramenu,,shoulder,плечо,A part of the body where the arm is attached.,"часть тела, к которой крепится рука.",deo tela gde je ruka povezana.,Nosio je torbu na ramenu.,"plećka, rame",,,,,,,,,,,,,,,,,,1733489422,664000000,1733489422,664000000
nabaviti,nabaviti,to acquire,приобрести,To get or obtain something needed or desired.,Получить или приобрести что-то нужное или желаемое.,Dobiti ili steći nešto što je potrebno ili željeno.,Moram da nabavim namirnice pre nego što prodavnica zatvori.,"dobaviti, pribaviti, steknuti",verb,,,,,,,,,,,,,,,,,1739825126,630000000,1739825126,630000000
naceniti,naceniti,to appraise,оценить,To determine or estimate the value or worth of something.,Определять или оценивать стоимость или ценность чего-то.,Odrediti ili proceniti vrednost ili cenu nečega.,Veoma je važno naceniti umetnička dela pre njihove prodaje na aukciji.,"procijeniti, vrednovati, oceniti",verb,,,,,,,,,,,,,,,,,1736800586,656000000,1736800586,656000000
nadležnima,,authorities,властям,Refers to persons or bodies with official power or legal authority in a specific area or matter.,Относится к лицам или органам с официальными полномочиями или юридической властью в конкретной области или вопросе.,Odnosi se na osobe ili tela sa zvaničnom moći ili pravnim autoritetom u određenoj oblasti ili pitanju.,Obratili smo se nadležnima za pomoć.,"vlasti, organi, institucije, funkcioneri",,,,,,,,,,,,,,,,,,,,,
nadoknađivati,,to compensate,компенсировать,To make up for something that was lost or missed.,"восполнять что-то, что было потеряно или пропущено.",Nadoknaditi nešto što je izgubljeno ili propušteno.,Moramo raditi dodatno da bismo nadoknadili propušteno vreme.,"kompenzovati, dati nazad, ispraviti",,,,,,,,,,,,,,,,,,,,,
nadomak,,nearby,вблизи,"Located at a short distance, close or near to a specific place or thing.",Расположенный на близком расстоянии к определенному месту или объекту.,"Smešteno na kratkoj udaljenosti, blizu ili pored određenog mesta ili predmeta.",Kuća je nadomak reke.,"blizu, pored, u blizini",,,,,,,,,,,,,,,,,,,,,
